city,province,latitude,longitude
gqaka,eastern cape,-31.553917,28.210587
gqaqala,eastern cape,-31.275246,28.422504
gqiba,eastern cape,-32.293342,28.686302
gqobonco,eastern cape,-31.623649,28.255605
gqogqora,eastern cape,-31.466667,28.533333
gqola,eastern cape,-33.175137,27.52234
gqoloma,eastern cape,-30.881152,28.845627
gqora,eastern cape,-33.116667,27.05
gqubeni,eastern cape,-31.886576,29.055966
gqubonco,eastern cape,-31.616963,28.193974
gqukangqa,eastern cape,-31.019779,28.604282
gqukungqa,eastern cape,-31.019779,28.604282
gqukunqa,eastern cape,-31.019779,28.604282
gqunce,eastern cape,-32.295741,28.379101
gqunge,eastern cape,-32.450818,28.53111
gqunge trading store,eastern cape,-32.466667,28.55
gqunqe,eastern cape,-32.45,28.45
gqutyini,eastern cape,-31.626616,27.881495
gqwesa,eastern cape,-30.8943,28.742831
gqweta,mpumalanga,-24.909926,31.039323
graaff-reinet,eastern cape,-32.25,24.55
graaf reinet,eastern cape,-32.25,24.55
graafwater,western cape,-32.154656,18.603187
grabouw,western cape,-34.151519,19.015091
grahamstad,eastern cape,-33.304216,26.53276
grahamstown,eastern cape,-33.304216,26.53276
graley,gauteng,-25.766667,28.85
grantham park,kwazulu natal,-28.765959,31.899037
grantion,north west,-27.057882,23.430365
grantleigh,kwazulu natal,-28.85,29.633333
grantleigh,north west,-25.857579,25.695491
grasbult,northern cape,-29.64894,22.229218
graskop,mpumalanga,-24.931442,30.841908
grasmere,gauteng,-26.427497,27.86023
graspan,northern cape,-30.106538,22.485489
grasrug,northern cape,-27.613558,23.887684
grassdale,eastern cape,-31.398824,26.510452
grasslands,free state,-29.155451,26.288537
grasslands,eastern cape,-31.327672,26.306253
grassmoor,northern cape,-29.92664,22.191315
grassridge,eastern cape,-31.785588,25.452898
grassvallei,limpopo,-24.679431,29.333148
grass valley,limpopo,-24.679431,29.333148
grassville,free state,-29.155451,26.288537
grassy park,western cape,-34.047195,18.498626
gravelotte,limpopo,-23.953075,30.618951
grayfield,north west,-26.9,23.616667
great brak river,western cape,-34.043679,22.225741
greenfields,eastern cape,-33.033298,27.862158
greenfontein,eastern cape,-31.416667,25.9
greenhaven,western cape,-34.040869,22.209714
greenhill,kwazulu natal,-29.827099,30.306303
green island,northern cape,-28.616667,16.483333
greenlands,eastern cape,-33.083333,26.766667
green point,western cape,-33.910012,18.403859
green valley,mpumalanga,-24.598522,31.021159
greenview,gauteng,-25.731389,28.397778
greenwich,north west,-26.170523,23.110501
greenwood park,kwazulu natal,-29.783333,31.016667
gregory,limpopo,-22.644641,28.946264
grey hill,northern cape,-28.133333,23.983333
greylingstad,mpumalanga,-26.744627,28.744426
greys,free state,-28.616667,28.816667
greystone,eastern cape,-31.899608,26.04517
greystorie,kwazulu natal,-29.071943,29.798419
greyton,western cape,-34.050482,19.608844
greytown,kwazulu natal,-29.064155,30.592786
greyville,kwazulu natal,-29.833333,31
griebdale,eastern cape,-31.483973,28.608894
griekwastad,northern cape,-28.851407,23.252483
griquatown,northern cape,-28.851407,23.252483
groblerbrug,limpopo,-22.999394,27.945833
groblersbrug,limpopo,-22.999394,27.945833
groblersdal,mpumalanga,-25.168434,29.394123
groblershoop,northern cape,-28.895309,21.983782
groendal,northern cape,-29.404751,22.417589
groendal,western cape,-33.892644,19.100525
groen draai,free state,-28.433253,28.587358
groenedal,eastern cape,-31.666667,27.366667
groenfontein,free state,-30.072403,26.331926
groenfontein,eastern cape,-31.639395,26.133002
groenfontein,western cape,-33.108493,19.347758
groenkloof,kwazulu natal,-27.416667,30.283333
groenkloof,eastern cape,-31.780887,25.509056
groenpoort,free state,-30.416233,26.689412
groenpunt,gauteng,-26.826341,28.038443
groenpunt,western cape,-33.910012,18.403859
groenvlakte,free state,-30.028035,26.109107
groenvlei,kwazulu natal,-27.459055,30.23027
groenvlei,eastern cape,-31.021026,26.403782
groenvlei,limpopo,-24.266667,27.483333
groesbeek,limpopo,-23.866667,28.433333
grootberg,northern cape,-30.283333,17.733333
groot-brakrivier,western cape,-34.043679,22.225741
grootdam,free state,-29.380768,26.920356
grootdam,eastern cape,-31.482609,26.20689
grootderm,northern cape,-28.528239,16.61608
groot drakenstein,mpumalanga,-26.05,29.683333
grootdrink,northern cape,-26.494937,22.278767
groot-elandsvlei,gauteng,-26.139916,27.6703
grootfontein,free state,-29.63352,26.296903
grootfontein,western cape,-33,18.2
grootgeluk,free state,-29.449312,25.98163
grootgewaagd,mpumalanga,-26.661048,29.859672
groot highlands,free state,-29.85,26.55
groothoek,free state,-29.283333,26.866667
groothoek,limpopo,-23.287147,29.317469
groot-jongensfontein,western cape,-34.42562,21.33995
grootjongensfonteinstrand,western cape,-34.42562,21.33995
grootkloof,kwazulu natal,-27.416667,30.283333
groot-marico,north west,-25.597005,26.417238
groot matjiesfontein,western cape,-30.516667,18.533333
groot mier,northern cape,-26.74213,20.33376
grootmis,northern cape,-29.651125,17.084218
grootmist,northern cape,-29.651125,17.084218
grootpan,mpumalanga,-25.917957,29.928743
grootpan,limpopo,-22.765199,28.821927
grootrivierdrif,eastern cape,-33.416667,24.666667
grootrivier,western cape,-33.383333,19.5
groot-samenkomst,eastern cape,-32.181022,25.275928
grootschuur,eastern cape,-31.743034,26.395126
groot silwermyn,western cape,-34.109667,18.405329
grootspruit,mpumalanga,-27.033333,30.433333
groot strydpoort,eastern cape,-31.381062,25.947006
groot-suurfontein,free state,-30.337475,25.811647
groot umgazi,eastern cape,-31.614246,29.42367
groot-umngazi,eastern cape,-31.614246,29.42367
grootverlang,free state,-29.600608,26.340888
grootvlei,free state,-30.334147,26.707886
grootvlei,eastern cape,-31.343612,25.694423
grootvlei,mpumalanga,-26.762469,28.483823
